"Story","Title","Result","Date","Stability","Duration (s)"
"Home","I want add one product to trolley","SUCCESS","2022-11-04T18:16:45.2491595+07:00[Asia/Bangkok]","0.0","11.76"
"Home","I want add two product to trolley","SUCCESS","2022-11-04T18:16:57.4436923+07:00[Asia/Bangkok]","0.0","6.11"
"Home","I want to see the detail product of PS2","SUCCESS","2022-11-04T18:17:13.0705265+07:00[Asia/Bangkok]","0.0","9.53"
"Home","I want to select category","SUCCESS","2022-11-04T18:17:22.8785761+07:00[Asia/Bangkok]","0.0","8.74"
"Login","Login with account","SUCCESS","2022-11-04T18:17:31.9137702+07:00[Asia/Bangkok]","0.0","22.87"
"Logout","I want to logout my account","SUCCESS","2022-11-04T18:17:54.7944568+07:00[Asia/Bangkok]","0.0","4.27"
"Order","Showed total price paid for 1 product","SUCCESS","2022-11-04T18:17:59.2634279+07:00[Asia/Bangkok]","0.0","6.26"
"Order","Showed total price paid for 2 product","SUCCESS","2022-11-04T18:18:05.7633454+07:00[Asia/Bangkok]","0.0","6.52"
"Order","Showed one quantity product","SUCCESS","2022-11-04T18:18:12.5432421+07:00[Asia/Bangkok]","0.0","6.43"
"Order","Showed two quantity product","SUCCESS","2022-11-04T18:18:19.2179813+07:00[Asia/Bangkok]","0.0","6.37"
"Order","Pay the product","SUCCESS","2022-11-04T18:18:25.848709+07:00[Asia/Bangkok]","0.0","6.57"
"Register","Register new a account","SUCCESS","2022-11-04T18:18:32.6643878+07:00[Asia/Bangkok]","0.0","29.71"
